00002001   12 Area OMO3         $SpriteTable_80218E74   $Actor_BigLanternGhost_80218EBC
00020000   02 Area KMR Part 3   $SpriteTable_80225F0C   $Actor_JrTroopa3_80225F54
00020000   02 Area KMR Part 3   $SpriteTable_80228014   $Actor_JrTroopa4_8022805C
00020000   02 Area KMR Part 3   $SpriteTable_8022A6E0   $Actor_JrTroopa5_8022A728
00020000   03 Area MAC          $SpriteTable_8022348C   $Actor_Lee_8021D4A0
00020000   03 Area MAC          $SpriteTable_80224514   $Actor_Lee_8021D4A0
00020000   03 Area MAC          $SpriteTable_80225A80   $Actor_Lee_8021D4A0
00020000   05 Area NOK          $SpriteTable_80227AB4   $Actor_KentCKoopa_80227BF8
00020000   05 Area NOK          $SpriteTable_80227AB4   $Actor_KentCKoopa_80227BF8
00020000   06 Area TRD Part 1   $SpriteTable_80219DD8   $Actor_BillBlaster_80219E20
00020000   07 Area TRD Part 2   $SpriteTable_8021A748   $Actor_FakeBowser_8021A8D4
00020000   07 Area TRD Part 2   $SpriteTable_8021A748   $Actor_FakeBowser_8021A8D4
00020000   07 Area TRD Part 2   $SpriteTable_8021A748   $Actor_FakeBowser_8021A8D4
00020000   07 Area TRD Part 2   $SpriteTable_8021A748   $Actor_FakeBowser_8021A8D4
00020000   07 Area TRD Part 2   $SpriteTable_8021A748   $Actor_FakeBowser_8021A8D4
00020000   07 Area TRD Part 2   $SpriteTable_8021A748   $Actor_FakeBowser_8021A8D4
00020000   07 Area TRD Part 2   $SpriteTable_8021A748   $Actor_FakeBowser_8021A8D4
00020000   07 Area TRD Part 2   $SpriteTable_8021A748   $Actor_FakeBowser_8021A8D4
00020000   09 Area IWA          $SpriteTable_8021A508   $Actor_MontyMole_8021A574
00020000   09 Area IWA          $SpriteTable_8021B708   $Actor_Buzzar_8021B7BC
00020000   0A Area SBK          $SpriteTable_80218338   $Actor_Pokey_80218410
00020000   0A Area SBK          $SpriteTable_8021D6B4   $Actor_Bandit_8021D700
00020000   0B Area ISK Part 1   $SpriteTable_80218CC8   $Actor_PokeyMummy_80218DA0
00020000   0B Area ISK Part 1   $SpriteTable_80221604   $Actor_StoneChomp_8022176C
00020000   0C Area ISK Part 2   $SpriteTable_80218D34   $Actor_Tutankoopa_8021BBF4
00020000   0C Area ISK Part 2   $SpriteTable_8021BAD4   $Actor_Tutankoopa_8021BBF4
00020000   0E Area ARN          $SpriteTable_80223D30   $Actor_TubbasHeart_80223D78
00020000   12 Area OMO3         $SpriteTable_80222F18   $Actor_Pokey_80222FF0
00020000   13 Area KGR          $SpriteTable_80218B00   $Actor_Fuzzipede_80218B48
00020000   19 Area FLO2         $SpriteTable_80219B0C   $Actor_HuffNPuff_80219B9C
00020000   19 Area FLO2         $SpriteTable_80219B0C   $Actor_HuffNPuff_80219B9C
00020000   19 Area FLO2         $SpriteTable_80230718   $Actor_MontyMole_80230784
00020000   1B Area TIK2         $SpriteTable_8021A7C0   $Actor_Blooper_8021A808
00020000   1B Area TIK2         $SpriteTable_8021C7BC   $Actor_ElectroBlooper_8021C804
00020000   1B Area TIK2         $SpriteTable_8021F6AC   $Actor_SuperBlooper_8021F6F4
00020000   1B Area TIK2         $SpriteTable_802225E0   $Actor_SuperBlooper_8021F6F4
